text,category
Artificial intelligence enables machines to learn and reason.,Artificial Intelligence
Deep learning models are widely used for image recognition.,Machine Learning
Neural networks improve classification accuracy.,Machine Learning
Natural language processing enables text understanding.,Natural Language Processing
Transformers are widely used in NLP tasks.,Natural Language Processing
Convolutional Neural Networks are used for image classification.,Computer Vision
Object detection identifies multiple objects in images.,Computer Vision
Robot navigation requires path planning algorithms.,Robotics
Industrial robots automate manufacturing processes.,Robotics
Encryption protects sensitive information.,Cyber Security
Firewalls help secure computer networks.,Cyber Security
Cloud platforms provide scalable infrastructure.,Cloud Computing
Virtual machines are commonly used in cloud environments.,Cloud Computing
AWS provides cloud storage and computing services.,Cloud Computing
AI-powered chatbots assist customers automatically.,Artificial Intelligence
Computer vision is used in autonomous vehicles.,Computer Vision
Machine learning predicts future outcomes using data.,Machine Learning
Cyber attacks exploit software vulnerabilities.,Cyber Security
Robotics combines sensors and actuators.,Robotics
NLP techniques include tokenization and stemming.,Natural Language Processing
